,_id,location_name,location_id,winner_percentage,registered_voters,voter_turnout,year
647,{'$oid': '61c8c8dae8e3b248c77b5f14'},Abila P/S,3-035-3-006-03,93.92971246,639,99.21752739,2021
1586,{'$oid': '61c8c8dbe8e3b248c77b62f2'},Akworo Pri Sch (N-Z),3-035-2-011-04,82.65306122,472,84.74576271,2021
1662,{'$oid': '61c8c8dbe8e3b248c77b6420'},St. Jude Catholic Church,3-035-3-002-05,82.24852071,423,81.79669031,2021
2070,{'$oid': '61c8c8dce8e3b248c77b6489'},Inomu Prm Church,3-035-2-011-05,81.72413793,372,80.91397849,2021
2078,{'$oid': '61c8c8dce8e3b248c77b64d0'},Akuoro Catholic Church,3-035-2-011-06,77.77777778,303,80.52805281,2021
2098,{'$oid': '61c8c8dce8e3b248c77b6570'},Kachango Stores (N-Z),3-035-2-011-03,78.29457364,333,79.57957958,2021
2179,{'$oid': '61c8c8dce8e3b248c77b6614'},Kadesok Primary Sch.,3-035-3-005-01,68.12227074,300,78.66666667,2021
2199,{'$oid': '61c8c8dce8e3b248c77b6688'},Kaukura P/S (N-Z),3-035-2-005-03,77.62237762,188,78.19148936,2021
2323,{'$oid': '61c8c8dce8e3b248c77b66b5'},Okauria A. Erisama Mango Tree,3-035-1-021-05,45.62737643,350,78.0,2021
2350,{'$oid': '61c8c8dce8e3b248c77b678c'},St. John Kadumire,3-035-2-010-03,81.98198198,451,77.16186253,2021
2659,{'$oid': '61c8c8dce8e3b248c77b6709'},Pasia Mango Tree,3-035-2-006-05,70.71823204,246,77.64227642,2021
2716,{'$oid': '61c8c8dce8e3b248c77b6833'},Obutet P.S,3-035-2-014-03,76.97368421,419,76.61097852,2021
2757,{'$oid': '61c8c8dce8e3b248c77b651f'},Akisim (N-Z),3-035-2-014-07,78.31325301,431,80.04640371,2021
2764,{'$oid': '61c8c8dce8e3b248c77b6550'},Omaulon Catholic Church,3-035-3-004-02,87.78280543,282,79.78723404,2021
2773,{'$oid': '61c8c8dce8e3b248c77b657f'},Budaula T/C,3-035-1-015-01,57.82828283,507,79.48717949,2021
2799,{'$oid': '61c8c8dce8e3b248c77b6834'},Nile Junior Academy,3-035-2-010-07,69.4980695,342,76.60818713,2021
2828,{'$oid': '61c8c8dce8e3b248c77b653e'},Aujabule,3-035-2-007-02,73.0,259,79.92277992,2021
2847,{'$oid': '61c8c8dce8e3b248c77b65cb'},Obanyai Central (A-M),3-035-2-013-02,67.28971963,277,79.06137184,2021
2879,{'$oid': '61c8c8dce8e3b248c77b6673'},Akworo Pri Sch (A-M),3-035-2-011-02,65.74074074,557,78.27648115,2021
2886,{'$oid': '61c8c8dce8e3b248c77b66a1'},Agururu Mango Tree,3-035-1-019-02,80.50541516,374,78.07486631,2021
3045,{'$oid': '61c8c8dde8e3b248c77b696c'},Kagwese Primary Sch.,3-035-1-013-08,54.90196078,428,75.70093458,2021
3166,{'$oid': '61c8c8dde8e3b248c77b69a8'},Opeta P.S,3-035-2-014-04,88.70292887,327,75.5351682,2021
3230,{'$oid': '61c8c8dde8e3b248c77b6985'},Kakurach T/C,3-035-2-005-05,77.8125,435,75.63218391,2021
3336,{'$oid': '61c8c8dde8e3b248c77b6a9b'},Auk'S Mango Tree,3-035-3-001-05,69.89247312,251,74.90039841,2021
3361,{'$oid': '61c8c8dde8e3b248c77b6b76'},Kibale P/S,3-035-3-002-03,74.91289199,414,74.39613527,2021
3371,{'$oid': '61c8c8dde8e3b248c77b6bd9'},Akiboibon Rock A,3-035-3-004-01,82.92682927,387,74.16020672,2021
3647,{'$oid': '61c8c8dde8e3b248c77b68fb'},Kapala Market,3-035-2-012-04,75.67567568,150,76.0,2021
3739,{'$oid': '61c8c8dde8e3b248c77b6a28'},Redeemer Nur & Pri.Sch,3-035-2-009-06,58.76923077,448,75.22321429,2021
3841,{'$oid': '61c8c8dde8e3b248c77b6b08'},Mpongi Pri Sch,3-035-1-016-01,65.66037736,383,74.67362924,2021
3889,{'$oid': '61c8c8dde8e3b248c77b6acc'},Okiruket - Kadesok Pri. Sch.,3-035-3-005-03,66.56891496,480,74.79166667,2021
4003,{'$oid': '61c8c8dee8e3b248c77b6c44'},Onyara Trading Centre,3-035-1-026-01,70.2811245,349,73.92550143,2021
4009,{'$oid': '61c8c8dee8e3b248c77b6c5c'},Ogurutap L.C1,3-035-2-014-06,80.09153318,605,73.88429752,2021
4064,{'$oid': '61c8c8dee8e3b248c77b6c2f'},Okaribwok Prm Church,3-035-1-010-02,62.6450116,599,73.95659432,2021
4140,{'$oid': '61c8c8dee8e3b248c77b6cc3'},Faith Mission Church,3-035-1-003-03,61.15107914,205,73.65853659,2021
4185,{'$oid': '61c8c8dee8e3b248c77b6c4b'},Katome Central,3-035-1-017-04,63.39522546,529,73.91304348,2021
4231,{'$oid': '61c8c8dee8e3b248c77b6dc4'},Nangobi 'C' - Human Salvation Church P/S,3-035-1-005-03,43.98496241,410,73.17073171,2021
4240,{'$oid': '61c8c8dee8e3b248c77b6e14'},Opuyu T/C,3-035-2-024-02,64.13301663,586,73.03754266,2021
4322,{'$oid': '61c8c8dee8e3b248c77b6cae'},Oluwa Aperosi Mango Tree,3-035-2-013-06,64.09495549,483,73.70600414,2021
4331,{'$oid': '61c8c8dee8e3b248c77b6ced'},Kagoli Central Borehole (A-M),3-035-1-019-01,74.51923077000001,299,73.57859532,2021
4334,{'$oid': '61c8c8dee8e3b248c77b6cf5'},Bungokwo Catholic Church,3-035-1-015-02,74.42748092,367,73.56948229,2021
4343,{'$oid': '61c8c8dee8e3b248c77b6d52'},Kachango Pri Sch,3-035-2-012-03,51.77664975,278,73.38129496,2021
4380,{'$oid': '61c8c8dee8e3b248c77b6c65'},Akipany,3-035-3-006-02,80.31914894,264,73.86363636,2021
4417,{'$oid': '61c8c8dee8e3b248c77b6d69'},Okwii Omaidoko,3-035-2-009-02,71.75925926,315,73.33333333,2021
4438,{'$oid': '61c8c8dee8e3b248c77b6c3b'},Osekelo Oibokoton,3-035-1-023-03,72.19730942,307,73.94136808,2021
4467,{'$oid': '61c8c8dee8e3b248c77b6d1f'},Kamuge Market (N-Z),3-035-1-018-03,70.08086253,532,73.4962406,2021
4524,{'$oid': '61c8c8dee8e3b248c77b6eac'},Angodi,3-035-2-012-01,70.90909091,466,72.74678112,2021
4530,{'$oid': '61c8c8dee8e3b248c77b6ed7'},Obwanai P/S (N-Z),3-035-2-006-02,69.63350785,278,72.6618705,2021
4629,{'$oid': '61c8c8dee8e3b248c77b6fc8'},Ookei Borehole,3-035-3-003-04,77.72151899,567,72.31040564,2021
4632,{'$oid': '61c8c8dee8e3b248c77b6fe5'},Obanyai Central (N-Z),3-035-2-013-05,59.80392157,429,72.26107226,2021
4639,{'$oid': '61c8c8dee8e3b248c77b6e4b'},Gogonyo P.S,3-035-2-013-03,69.52054795,425,72.94117647,2021
4664,{'$oid': '61c8c8dee8e3b248c77b6f07'},Osekelo St. Jude Catholic Church,3-035-1-024-04,61.48409894,405,72.59259259,2021
4793,{'$oid': '61c8c8dee8e3b248c77b6f11'},Kapala Market,3-035-2-012-05,69.02654867,485,72.57731959,2021
4848,{'$oid': '61c8c8dee8e3b248c77b6f0a'},Osonga P.S (N-Z),3-035-1-023-04,72.40618102,653,72.58805513,2021
4856,{'$oid': '61c8c8dee8e3b248c77b6f3c'},Cheele Central Pag,3-035-2-013-08,64.08045977,506,72.52964427,2021
4875,{'$oid': '61c8c8dee8e3b248c77b6e22'},Bukunama Trading Centre,3-035-1-016-05,45.94594595,567,73.01587302,2021
